userID,songID,rating,songName,year,artist,genre
501,736,1.0,I Gotta Feeling,2009,Black Eyed Peas,Pop
1162,753,1.494917871414299,Bitter Sweet Symphony,1997,The Verve,Pop
898,5,1.0,Full Circle,2008,Miley Cyrus,Pop
472,752,1.7844262671283984,The Fear,2008,Lily Allen,Pop
1307,630,1.0,Marry Me,2009,Train,Pop
649,612,1.0,Read My Mind,2006,The Killers,Rock
713,439,1.7844262671283984,Secrets,2009,OneRepublic,Rock
481,754,1.0,The Bat's Mouth,2008,Bat For Lashes,Rock
1799,637,2.933589977427117,Invalid,2002,Tub Ring,Rock
2070,137,1.494917871414299,Hotel California,1976,Eagles,Rock
1912,521,1.494917871414299,I Want I Want,2007,Digitalism,Electronic
1004,402,1.0,White Sky,2010,Vampire Weekend,Rock
1287,596,1.0,Shiver,2000,Coldplay,Rock
1713,59,1.494917871414299,They Might Follow You,2007,Tiny Vipers,Pop
339,489,1.7844262671283984,In Person,2008,The Pussycat Dolls,Pop
1982,524,1.494917871414299,The Bunker,2006,Beirut,Rock
2067,534,1.0,All These Things That I've Done,2004,The Killers,Rock
1716,544,1.0,A Rush Of Blood To The Head,2002,Coldplay,Rock
468,114,2.149163710298719,One Time,2009,Justin Bieber,Pop
1211,577,1.0,Right Here,2007,Miley Cyrus,Pop
486,448,2.568852534256797,Représente,1999,Alliance Ethnik,Rap
1053,391,1.494917871414299,The Maestro,1992,Beastie Boys,Rap
632,625,2.149163710298719,Thanx 4 Nothin',2008,Mariah Carey,RnB
2343,699,1.0,Cherbourg,2007,Beirut,Folk
1389,701,1.0,16 Candles,1988,The Crests,Rock
1251,377,1.0,Sympathy,2002,Sleater-kinney,Rock
542,759,1.0,In The Aeroplane Over The Sea,1998,Neutral Milk Hotel,Rock
2100,804,1.0,Can't Have You,2008,Jonas Brothers,Pop
1077,5,1.0,Full Circle,2008,Miley Cyrus,Pop
1724,305,1.7844262671283984,The Penalty,2007,Beirut,Folk
2046,9,1.0,I'm Still Breathing,2008,Katy Perry,Pop
2169,713,1.0,Last Day Of Magic,2008,The Kills,Rock
1165,594,1.0,My Love,2009,the bird and the bee,Rock
2360,666,1.0,Malaria Codes,2005,Octopus Project,Rock
1279,696,1.0,Gift From Virgo,2003,Beyonce,RnB
2296,598,1.0,Bigger,2009,Justin Bieber,Pop
258,269,1.7844262671283984,I'm Not Calling You A Liar,2009,Florence + The Machine,Rock
1990,223,1.0,When Your Eyes Say It,2000,Britney Spears,Pop
1858,260,1.0,Te Amo,2009,Rihanna,Pop
2100,131,2.568852534256797,She's Good For You,2005,Deana Carter,Country
1894,88,1.0,Crying At The Aquarium,2002,Octopus Project,Rock
550,700,1.0,The French Open,2007,Foals,Rock
46,353,1.494917871414299,Good Arms vs Bad Arms,2008,Frightened Rabbit,Rock
433,537,2.149163710298719,Better To Reign In Hell,2003,Cradle Of Filth,Rock
941,413,1.494917871414299,What You Know,2010,Two Door Cinema Club,Rock
1652,508,1.0,Rhode Island Is Famous For You,2007,Erin McKeown,Folk
1777,93,1.0,Clocks,2002,Coldplay,Rock
2373,59,1.0,They Might Follow You,2007,Tiny Vipers,Pop
1363,413,1.0,What You Know,2010,Two Door Cinema Club,Rock
1721,724,1.0,Moon And Moon,2009,Bat For Lashes,Rock
366,637,1.0,Invalid,2002,Tub Ring,Rock
417,523,1.0,Everybody's Changing,2007,Lily Allen,Pop
1576,423,1.0,Easy Eats Or Dirty Doctor Galapagos,2008,Man Man,Rock
2249,312,1.494917871414299,Baby,2009,the bird and the bee,Pop
507,7,1.0,Halo,2008,Beyonce,Pop
78,168,1.0,Already Gone,2009,Kelly Clarkson,Pop
581,230,1.0,Kut-Off,2006,Skream,Electronic
1104,473,1.7844262671283984,Hailie's Song,2002,Eminem,Rap
2078,655,1.0,EMOTIONS,1991,Mariah Carey,RnB
7,549,1.0,Epistemology,2009,M Ward,Rock
1919,130,1.494917871414299,Paper Gangsta,2008,Lady GaGa,Pop
2131,260,1.0,Te Amo,2009,Rihanna,Pop
838,616,1.0,Jupiter Approach,2007,Digitalism,Electronic
2275,288,1.0,Common Denominator,2009,Justin Bieber,Pop
2223,232,1.0,Tuesday Moon,1993,Neutral Milk Hotel,Rock
1708,207,1.0,Now My Feet Won't Touch The Ground,2008,Coldplay,Rock
908,422,1.0,Postcards From Italy,2005,Beirut,Rock
216,713,1.494917871414299,Last Day Of Magic,2008,The Kills,Rock
942,731,1.0,Safari,2007,Holy Fuck,Electronic
1082,183,1.0,Kicking And Screaming,2009,Miley Cyrus,Pop
1932,209,1.0,Goodnight And Goodbye,2007,Jonas Brothers,Pop
294,447,1.494917871414299,sun drums and soil,2005,Four Tet,Electronic
1788,501,1.7844262671283984,& Down,2007,Boys Noize,Electronic
1820,13,1.494917871414299,Such Great Heights,2003,The Postal Service,Electronic
168,436,1.0,Friday Night,2006,Lily Allen,Pop
1800,199,1.494917871414299,La Llorona,2009,Beirut,Rock
838,712,2.933589977427117,Street Justice,2006,MSTRKRFT,Rock
2215,516,1.0,Believe,2008,The All-American Rejects,Rock
1864,787,1.0,Ragoo,2007,Kings Of Leon,Rock
412,395,1.0,Fire Bomb,2009,Rihanna,RnB
1164,318,1.494917871414299,Up,2010,Justin Bieber,Pop
320,332,1.494917871414299,How You Remind Me,2000,Nickelback,Rock
819,689,2.149163710298719,Party In The U.S.A.,2009,Miley Cyrus,Pop
229,66,1.0,Heavy Water,2008,Foals,Rock
